Model,VLM Accuracy (%),IoU (%),No-Flip Rate (%),Early Correct (%),Stable Correct (%),Choice Flips,Predictions,Anomalies,Time (s)
gemini-3-pro-preview,95.45454545454545,95.45454545454545,87.5,87.5,87.5,1,31,3,344.4329652786255
gemini-3.1-pro-preview,95.45454545454545,95.45454545454545,87.5,87.5,87.5,1,31,3,351.2870147228241
gemini-pro-latest,90.47619047619048,90.47619047619048,75.0,87.5,75.0,3,31,5,348.9802827835083
gemini-2.5-pro,76.47058823529412,76.47058823529412,50.0,37.5,37.5,4,31,11,404.99184918403625
gemini-2.5-flash,72.72727272727273,72.72727272727273,37.5,50.0,37.5,6,31,13,367.90553426742554
