video_id,ground_truth,gemini-2.5-flash_acc,gemini-2.5-flash_n,gemini-2.5-pro_acc,gemini-2.5-pro_n,gemini-3-pro-preview_acc,gemini-3-pro-preview_n,gemini-3.1-pro-preview_acc,gemini-3.1-pro-preview_n,gemini-pro-latest_acc,gemini-pro-latest_n
amb_d_drawer_close,A,100.0,2/2,50.0,1/2,100.0,3/3,100.0,3/3,100.0,3/3
amb_l_block,A,100.0,3/3,100.0,3/3,100.0,3/3,100.0,3/3,100.0,3/3
amb_r_block,B,66.66666666666666,2/3,0.0,0/0,100.0,2/2,100.0,2/2,100.0,2/2
amb_to_drawer_close,B,66.66666666666666,2/3,66.66666666666666,2/3,66.66666666666666,2/3,66.66666666666666,2/3,66.66666666666666,2/3
le_d_drawer_close,A,66.66666666666666,2/3,50.0,1/2,100.0,3/3,100.0,3/3,66.66666666666666,2/3
le_l_block,A,100.0,2/2,100.0,2/2,100.0,2/2,100.0,2/2,100.0,2/2
le_r_block,B,33.33333333333333,1/3,66.66666666666666,2/3,100.0,3/3,100.0,3/3,100.0,3/3
le_t_drawer_close,B,66.66666666666666,2/3,100.0,2/2,100.0,3/3,100.0,3/3,100.0,2/2
