video_id,trajectory_type,ground_truth,vlm_first_correct_time,vlm_confidence,human_mean_time,human_std_time,human_correct_count,human_total,time_difference,vlm_faster
amb_d_drawer_close,ambiguous,A,5,95,10.277554715468797,6.288947345397568,6,6,-5.277554715468797,True
amb_l_block,ambiguous,A,6,98,5.913671715800187,4.8739970014564715,6,6,0.08632828419981298,False
amb_r_block,ambiguous,B,14,100,7.58614353161098,4.997281068120716,6,6,6.41385646838902,False
amb_to_drawer_close,ambiguous,B,2,95,7.818043940629252,5.8985838650167075,5,6,-5.818043940629252,True
le_d_drawer_close,legible,A,3,95,6.735666282981252,3.4339359096911437,6,6,-3.735666282981252,True
le_l_block,legible,A,4,90,8.345032268600358,5.240749008266132,6,6,-4.345032268600358,True
le_r_block,legible,B,5,95,5.283517965052206,4.4731771292567135,6,6,-0.28351796505220594,True
le_t_drawer_close,legible,B,1,99,5.416647123793484,2.857817394417522,6,6,-4.416647123793484,True
